h3_cell,h3_center_lat,h3_center_lon
8838292401fffff,36.144344,3.613712
8838292403fffff,36.142869,3.623747
8838292407fffff,36.136264,3.616915
883829240bfffff,36.15095,3.620544
8838292415fffff,36.141394,3.633782
883829241dfffff,36.149475,3.630579
8838292423fffff,36.121577,3.613288
8838292431fffff,36.126707,3.630151
8838292435fffff,36.120101,3.62332
8838292437fffff,36.118625,3.633353
8838292439fffff,36.134789,3.626949
883829243dfffff,36.128183,3.620118
8838292451fffff,36.165636,3.624173
8838292453fffff,36.164161,3.634211
8838292459fffff,36.173715,3.620969
883829245bfffff,36.172241,3.631008
88382924a5fffff,36.106105,3.666654
88382924adfffff,36.11419,3.663454
88382924b5fffff,36.109746,3.693561
88382924b7fffff,36.108263,3.703597
88382924d9fffff,36.163379,3.691249
8838292599fffff,36.099501,3.659819
88382925c9fffff,36.113496,3.616491
88382925cbfffff,36.11202,3.626522
88382925d1fffff,36.109064,3.646587
88382925d3fffff,36.107585,3.65662
88382925d7fffff,36.10098,3.649787
88382925dbfffff,36.115669,3.65342
8838292605fffff,36.194282,3.584445
8838292621fffff,36.179599,3.580822
8838292629fffff,36.187675,3.577615
883829262bfffff,36.186206,3.587652
883829262dfffff,36.181068,3.570786
8838292663fffff,36.195751,3.574408
8838292667fffff,36.189143,3.567579
88382926adfffff,36.170767,3.641046
88382926b1fffff,36.172942,3.678007
88382926b3fffff,36.171463,3.688049
88382926b7fffff,36.164859,3.681207
88382926bbfffff,36.179546,3.684849
88382926e5fffff,36.180321,3.627804
88382926e7fffff,36.178847,3.637843
883829a031fffff,36.495809,3.284114
883829a033fffff,36.494382,3.294163
883829a037fffff,36.487766,3.287349
883829a03bfffff,36.502425,3.290928
883829a0e5fffff,36.492954,3.304212
883829a0edfffff,36.500998,3.300978
883829a1d9fffff,36.486338,3.297397
883829a4a5fffff,36.501578,3.50934
883829a4a7fffff,36.500131,3.519405
883829a591fffff,36.486911,3.505719
883829a593fffff,36.485464,3.515783
883829a599fffff,36.494968,3.502497
883829a59bfffff,36.493521,3.512561
883829a5adfffff,36.46336,3.458246
883829a5e5fffff,36.472857,3.444964
883829a5e7fffff,36.471415,3.455022
883829a687fffff,36.577791,3.507315
883829a68bfffff,36.592454,3.510939
883829a693fffff,36.588123,3.541168
883829a699fffff,36.597621,3.527868
883829a69bfffff,36.596177,3.537945
883829a69dfffff,36.591011,3.521015
883829a6a3fffff,36.563128,3.503691
883829a6abfffff,36.571181,3.500466
883829a6b1fffff,36.568294,3.520612
883829a6b5fffff,36.561684,3.513763
883829a6b9fffff,36.576348,3.517389
883829a6bdfffff,36.569738,3.510539
883829a6c3fffff,36.601947,3.497638
883829a6cbfffff,36.609998,3.494412
883829a6d1fffff,36.607116,3.514565
883829a6d3fffff,36.605674,3.524643
883829a6d5fffff,36.600506,3.507714
883829a6d7fffff,36.599064,3.517791
883829a6d9fffff,36.615168,3.51134
883829a6ddfffff,36.608557,3.504488
883829aed1fffff,36.458191,3.441356
883829aed3fffff,36.456748,3.451412
883829aed9fffff,36.466246,3.438132
883829aedbfffff,36.464803,3.448188
883874002dfffff,36.349259,4.234331
8838740049fffff,36.394865,4.235491
8838740061fffff,36.365474,4.227983
8838740063fffff,36.363955,4.238084
8838740065fffff,36.358886,4.221057
8838740067fffff,36.357367,4.231157
8838740069fffff,36.373581,4.224808
883874006bfffff,36.372063,4.234911
883874006dfffff,36.366992,4.217882
8838740151fffff,36.344189,4.217307
8838740153fffff,36.34267,4.227405
8838740159fffff,36.352297,4.214132
883874015bfffff,36.350778,4.224231
8838740221fffff,36.404487,4.22221
8838740223fffff,36.402971,4.232315
8838740227fffff,36.396382,4.225386
883874022bfffff,36.411076,4.22914
8838740235fffff,36.401453,4.242421
883874023dfffff,36.409559,4.239246
8838740261fffff,36.42221,4.205751
8838740265fffff,36.415621,4.198824
8838740267fffff,36.414107,4.208929
883874026dfffff,36.423723,4.195646
8838740305fffff,36.373054,4.177484
8838740315fffff,36.376615,4.204606
8838740317fffff,36.375098,4.214707
8838740321fffff,36.35836,4.173741
8838740329fffff,36.366464,4.170564
883874032bfffff,36.36495,4.180661
883874032dfffff,36.359873,4.163645
8838740331fffff,36.36192,4.200858
8838740333fffff,36.360403,4.210957
8838740339fffff,36.370025,4.197682
883874033bfffff,36.368509,4.207782
8838740359fffff,36.409031,4.191898
883874035bfffff,36.407517,4.202001
8838740363fffff,36.374567,4.167385
8838740367fffff,36.367976,4.160467
8838740405fffff,36.387135,4.438323
8838740421fffff,36.372433,4.434531
8838740429fffff,36.380552,4.431369
883874042bfffff,36.379016,4.441485
883874042dfffff,36.37397,4.424415
8838740433fffff,36.3744,4.471839
8838740437fffff,36.367819,4.464881
8838740463fffff,36.388671,4.428206
8838740467fffff,36.382088,4.421252
88387404e5fffff,36.372859,4.481958
8838740531fffff,36.329863,4.413051
8838740533fffff,36.328326,4.423161
8838740535fffff,36.32328,4.406104
8838740537fffff,36.321743,4.416213
8838740539fffff,36.337983,4.409889
883874053bfffff,36.336446,4.42
883874053dfffff,36.3314,4.402941
88387405b1fffff,36.319081,4.483833
