h3_cell,h3_center_lat,h3_center_lon
883829240bfffff,36.15095,3.620544
8838292415fffff,36.141394,3.633782
8838292453fffff,36.164161,3.634211
8838292459fffff,36.173715,3.620969
883829245bfffff,36.172241,3.631008
8838292621fffff,36.179599,3.580822
88382926adfffff,36.170767,3.641046
88382926b1fffff,36.172942,3.678007
88382926e7fffff,36.178847,3.637843
883829a031fffff,36.495809,3.284114
883829a033fffff,36.494382,3.294163
883829a0e5fffff,36.492954,3.304212
883829a4a7fffff,36.500131,3.519405
883829a599fffff,36.494968,3.502497
883829a5adfffff,36.46336,3.458246
883829a687fffff,36.577791,3.507315
883829a693fffff,36.588123,3.541168
883829a6b5fffff,36.561684,3.513763
883829a6bdfffff,36.569738,3.510539
883829a6c3fffff,36.601947,3.497638
883829a6cbfffff,36.609998,3.494412
883829a6d3fffff,36.605674,3.524643
883829a6d5fffff,36.600506,3.507714
883829a6d9fffff,36.615168,3.51134
883829aed1fffff,36.458191,3.441356
883829aed9fffff,36.466246,3.438132
883829aedbfffff,36.464803,3.448188
8838740049fffff,36.394865,4.235491
8838740067fffff,36.357367,4.231157
883874006dfffff,36.366992,4.217882
883874015bfffff,36.350778,4.224231
8838740227fffff,36.396382,4.225386
8838740261fffff,36.42221,4.205751
8838740265fffff,36.415621,4.198824
8838740267fffff,36.414107,4.208929
883874026dfffff,36.423723,4.195646
8838740315fffff,36.376615,4.204606
8838740317fffff,36.375098,4.214707
8838740333fffff,36.360403,4.210957
883874033bfffff,36.368509,4.207782
8838740359fffff,36.409031,4.191898
8838740363fffff,36.374567,4.167385
88387405b5fffff,36.3125,4.476877
88387405b7fffff,36.310956,4.48699
8838740621fffff,36.429254,4.412385
88387406c9fffff,36.46568,4.474399
88387406cbfffff,36.464143,4.484528
8838740945fffff,36.185021,4.108784
883874096bfffff,36.176912,4.111959
8838741113fffff,36.448977,4.128658
8838741121fffff,36.425614,4.080792
8838741125fffff,36.419021,4.07388
8838741127fffff,36.417518,4.083977
8838741135fffff,36.422608,4.100988
88387411b3fffff,36.417133,4.188719
88387411c5fffff,36.447471,4.138762
88387411cdfffff,36.455568,4.135579
88387411e9fffff,36.440879,4.131841
88387411ebfffff,36.439373,4.141944
8838741841fffff,36.361765,4.0489
8838741849fffff,36.369861,4.045715
8838741a1bfffff,36.410925,4.077066
8838741a29fffff,36.387551,4.029253
8838741a2dfffff,36.380956,4.022351
8838741a37fffff,36.374952,4.06271
8838741a61fffff,36.397143,4.015975
8838741a67fffff,36.38905,4.019163
8838741a81fffff,36.390216,4.11372
8838741a83fffff,36.388709,4.123817
8838741a85fffff,36.383624,4.106807
8838741a87fffff,36.382117,4.116902
8838741a89fffff,36.398315,4.110538
8838741a91fffff,36.393792,4.14083
8838741a93fffff,36.392283,4.150929
8838741a95fffff,36.387201,4.133913
8838741a99fffff,36.401892,4.13765
8838741a9bfffff,36.400383,4.147749
8838741aa9fffff,36.377032,4.099895
8838741aabfffff,36.375525,4.109989
8838741ab1fffff,36.372508,4.130178
8838741ab9fffff,36.380609,4.126998
8838741abbfffff,36.3791,4.137094
8838741abdfffff,36.374017,4.120084
8838741ac1fffff,36.407918,4.097258
8838741ac3fffff,36.406413,4.107355
8838741ac7fffff,36.399821,4.100442
8838741acdfffff,36.409422,4.087162
8838741ad5fffff,36.404907,4.117453
8838741addfffff,36.413006,4.11427
8838741b53fffff,36.374361,4.01545
8838741b5bfffff,36.382455,4.012262
88387431c3fffff,36.377492,4.651594
88387431d1fffff,36.382511,4.668709
88387431ddfffff,36.384068,4.658577
88387432a1fffff,36.442893,4.673927
88387432adfffff,36.444448,4.663787
8838743645fffff,36.510526,4.781359
8838743a61fffff,36.322571,4.51102
8838743a63fffff,36.321025,4.521136
8838743a65fffff,36.315991,4.504061
8838743a69fffff,36.330697,4.507864
8838743a6bfffff,36.329151,4.517981
8838743a6dfffff,36.324117,4.500905
8838743b4bfffff,36.304375,4.480034
8838743b59fffff,36.309411,4.497103
883874433dfffff,36.040305,3.853245
8838745011fffff,36.173443,3.829176
8838745015fffff,36.166843,3.822315
8838745019fffff,36.181535,3.825984
8838745081fffff,36.159373,3.87258
883874508bfffff,36.165972,3.879446
883874508dfffff,36.160869,3.862526
88387450b5fffff,36.135085,3.882144
88387450c3fffff,36.175562,3.866201
88387450d1fffff,36.180665,3.883125
88387450d5fffff,36.174067,3.876257
88387450ddfffff,36.182161,3.873068
8838745123fffff,36.100832,3.753788
8838745181fffff,36.113178,3.824554
8838745187fffff,36.105083,3.827744
8838745189fffff,36.121272,3.821364
88387451abfffff,36.098483,3.820889
88387451c1fffff,36.130858,3.808127
88387451c3fffff,36.129365,3.818174
88387451c7fffff,36.122765,3.811318
88387451d5fffff,36.127872,3.828221
88387451ddfffff,36.135965,3.825031
88387452b9fffff,36.206441,3.863498
88387454c9fffff,36.210309,4.041993
88387455cdfffff,36.157551,3.986907
8838745621fffff,36.230448,3.958252
8838745625fffff,36.223852,3.951371
883874562dfffff,36.231949,3.948185
88387456a3fffff,36.218412,4.038813
8838745749fffff,36.231341,3.901044
883874575bfffff,36.233448,3.938117
8838745761fffff,36.201957,3.893676
8838745765fffff,36.195359,3.886806
8838745811fffff,36.02438,3.755605
8838745a4bfffff,36.101659,3.696758
8838745a5dfffff,36.100175,3.706794
8838745ae1fffff,36.063354,3.749679
883874a095fffff,36.677716,4.687856
883874a097fffff,36.67617,4.698022
883874a0b3fffff,36.661475,4.694169
883874a0b9fffff,36.671141,4.680847
883874a0bbfffff,36.669596,4.691013
883874a187fffff,36.626654,4.621669
883874a189fffff,36.642889,4.61535
883874a18bfffff,36.641349,4.625508
883874a191fffff,36.638264,4.645825
883874a195fffff,36.631688,4.638825
883874a197fffff,36.630145,4.648983
883874a1a5fffff,36.606923,4.600685
883874a1b5fffff,36.610416,4.627987
883874a1b7fffff,36.608873,4.638142
883874a1b9fffff,36.625112,4.631826
883874a1d1fffff,36.656043,4.629348
883874a1d5fffff,36.649466,4.622348
883874a1d7fffff,36.647925,4.632507
883874a1dbfffff,36.662619,4.636349
883874a2a5fffff,36.709775,4.627548
883874a2a7fffff,36.708236,4.637714
883874a425fffff,36.688145,4.769918
883874a433fffff,36.696625,4.814489
883874a43bfffff,36.704751,4.811339
883874a4e1fffff,36.701639,4.831695
883874a4e5fffff,36.695069,4.824666
883874a4edfffff,36.703196,4.821517
883874a519fffff,36.681572,4.762898
883874a549fffff,36.695892,4.71906
883874a5cdfffff,36.678467,4.783242
883874a693fffff,36.763878,4.87464
883874a697fffff,36.757309,4.867601
883874a723fffff,36.704013,4.715904
883874a821fffff,36.521398,4.509896
883874a823fffff,36.519861,4.520033
883874a8c1fffff,36.549678,4.575218
883874a8c7fffff,36.541559,4.578378
883874a8e9fffff,36.536521,4.561251
883874a8ebfffff,36.53498,4.571393
883874a923fffff,36.473797,4.471236
883874a931fffff,36.478842,4.488333
883874a9c9fffff,36.511744,4.523195
883874aa9dfffff,36.593767,4.586702
883874ac17fffff,36.562428,4.742163
883874ac8dfffff,36.557757,4.772636
883874acc1fffff,36.574017,4.76634
883874acc3fffff,36.572459,4.776501
883874ad9bfffff,36.520219,4.768059
883874ae09fffff,36.632084,4.686465
883874ae0dfffff,36.625509,4.67946
883874ae41fffff,36.641751,4.673148
883874ae43fffff,36.640205,4.68331
883874ae45fffff,36.635176,4.666144
883874ae6bfffff,36.627055,4.669301
883874ae6dfffff,36.622025,4.65214
883874aeb1fffff,36.59529,4.777218
883874aeb5fffff,36.588718,4.770204
883874aeb7fffff,36.587161,4.780366
883874aeb9fffff,36.603419,4.774069
883874aebbfffff,36.601862,4.784233
883874aebdfffff,36.596847,4.767055
883874b48dfffff,36.831201,4.733474
883874b4c5fffff,36.840856,4.720128
883874b4e1fffff,36.826168,4.716263
883874b4e3fffff,36.824627,4.726448
883874b4e9fffff,36.834282,4.713103
883874b4ebfffff,36.832742,4.723288
883874c001fffff,36.442352,3.760691
883874c005fffff,36.435749,3.753819
883874c009fffff,36.450427,3.757485
883874c00dfffff,36.443824,3.750614
883874c015fffff,36.439405,3.780846
883874c02dfffff,36.422543,3.740081
883874c031fffff,36.424727,3.777176
883874c033fffff,36.423251,3.787252
883874c037fffff,36.41665,3.780379
883874c045fffff,36.453368,3.737331
883874c069fffff,36.446765,3.730462
883874c06bfffff,36.445295,3.740538
883874c097fffff,36.427579,3.861488
883874c0a3fffff,36.40926,3.830764
883874c0b1fffff,36.41438,3.847723
883874c0b3fffff,36.412897,3.857803
883874c0b5fffff,36.407779,3.840842
883874c0b7fffff,36.406298,3.850922
